Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-01,2006,1,1,,,,,,,M,,M,,M,0,"",1.7,"",1.7,"",55,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-02,2006,1,2,,,,,,,M,,M,,M,0,"",1,"",1,"",55,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-03,2006,1,3,,,,,,,M,,M,,M,0,"",0,"",0,"",55,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-04,2006,1,4,,,,,,,M,,M,,M,0,"",0,T,0,T,55,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-05,2006,1,5,,,,,,,M,,M,,M,0,"",6,"",6,"",56,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-06,2006,1,6,,,,,,,M,,M,,M,0,"",2.1,"",2.1,"",59,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-07,2006,1,7,,,,,,,M,,M,,M,0,"",0.5,"",0.2,"",60,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-08,2006,1,8,,,,,,,M,,M,,M,0,"",2.8,"",1.4,"",60,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-09,2006,1,9,,,,,,,M,,M,,M,0,"",5.8,"",5.8,"",58,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2006-01-10,2006,1,10,,,,,,,M,,M,,M,0,"",0,T,0,T,60,,,,,
