Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-01,2008,1,1,,,,,,,M,,M,,M,0,"",0.2,"",0.4,"",43,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-02,2008,1,2,,,,,,,M,,M,,M,0,"",0,T,0,T,43,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-03,2008,1,3,,,,,,,M,,M,,M,0,"",0,"",0,"",43,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-04,2008,1,4,,,,,,,M,,M,,M,0,"",2,"",2,"",44,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-05,2008,1,5,,,,,,,M,,M,,M,0,"",0,T,0,T,44,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-06,2008,1,6,,,,,,,M,,M,,M,0,T,1.8,"",1.8,"",43,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-07,2008,1,7,,,,,,,M,,M,,M,1.6,"",0,"",1.6,"",42,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-08,2008,1,8,,,,,,,M,,M,,M,11.4,"",0,"",11.4,"",35,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-09,2008,1,9,,,,,,,M,,M,,M,6.4,"",3,"",9.4,"",29,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-10,2008,1,10,,,,,,,M,,M,,M,0,"",1,"",1,"",27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-11,2008,1,11,,,,,,,M,,M,,M,0,"",16.2,"",16.8,"",25,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-12,2008,1,12,,,,,,,M,,M,,M,0,T,0.6,"",0.8,"",27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-13,2008,1,13,,,,,,,M,,M,,M,0,"",0,"",0,"",27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-14,2008,1,14,,,,,,,M,,M,,M,0,"",0,T,0,T,27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-15,2008,1,15,,,,,,,M,,M,,M,0,"",0,T,0,T,27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-16,2008,1,16,,,,,,,M,,M,,M,0,"",0,"",0,"",27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-17,2008,1,17,,,,,,,M,,M,,M,0,"",0,"",0,"",27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-18,2008,1,18,,,,,,,M,,M,,M,0,"",17.2,"",17.2,"",29,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2008-01-19,2008,1,19,,,,,,,M,,M,,M,0,"",0.3,"",0.3,"",43,"",,,,
