Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-01,2010,1,1,,-4,,-5.6,,-4.8,,22.8,,0,,,,,,10,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-02,2010,1,2,,-2.9,,-5.2,,-4.1,,22.1,,0,,,,,,10.2,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-03,2010,1,3,,4,,-3.4,,0.3,,17.7,,0,,,,,,1.2,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-04,2010,1,4,,0,,-4.9,,-2.5,,20.5,,0,,,,,,0.7,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-05,2010,1,5,,-3,,-6.3,,-4.7,,22.7,,0,,,,,,0.4,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-06,2010,1,6,,-1.7,,-4.5,,-3.1,,21.1,,0,,,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-07,2010,1,7,,-2.1,,-9.2,,-5.7,,23.7,,0,,,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-08,2010,1,8,,-3.6,,-10.5,,-7.1,,25.1,,0,,,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-09,2010,1,9,,-9.2,,-17,,-13.1,,31.1,,0,,,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-10,2010,1,10,,-12.4,,-19.6,,-16,,34,,0,,,,,,0.4,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-11,2010,1,11,,-5.4,,-16.2,,-10.8,,28.8,,0,,,,,,0.5,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-12,2010,1,12,,-9.4,,-17,,-13.2,,31.2,,0,,,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-13,2010,1,13,,-10.8,,-21.5,,-16.2,,34.2,,0,,,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-14,2010,1,14,,-5.6,,-22.3,,-14,,32,,0,,,,,,2.1,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-15,2010,1,15,,1.4,,-5.7,,-2.2,,20.2,,0,,,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-16,2010,1,16,,1.3,,-12.3,,-5.5,,23.5,,0,,,,,,0.8,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2010-01-17,2010,1,17,,-6.8,,-14.1,,-10.5,,28.5,,0,,,,,,0,"",,,,,,
