Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-01,1950,1,1,,-1.7,,-8.9,,-5.3,,23.3,,0,,0,"",0,"",0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-02,1950,1,2,,0.6,,-8.9,,-4.2,,22.2,,0,,1.5,"",0.5,"",2,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-03,1950,1,3,,4.4,,-0.6,,1.9,,16.1,,0,,12.4,"",0,"",12.4,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-04,1950,1,4,,10,,0,,5,,13,,0,,2.5,"",0,"",2.5,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-05,1950,1,5,,-2.2,,-6.7,,-4.5,,22.5,,0,,0,"",0,T,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-06,1950,1,6,,-5,,-7.8,,-6.4,,24.4,,0,,0,"",2.5,"",2.5,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-07,1950,1,7,,-5.6,,-9.4,,-7.5,,25.5,,0,,0,"",0.8,"",0.8,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-08,1950,1,8,,-15,,-26.7,,-20.9,,38.9,,0,,0,"",0.5,"",0.5,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-09,1950,1,9,,-10,,-23.3,,-16.7,,34.7,,0,,0,"",5.8,"",5.8,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-10,1950,1,10,,3.3,,-14.4,,-5.6,,23.6,,0,,0,T,0.5,"",0.5,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-11,1950,1,11,,3.9,,-12.8,,-4.5,,22.5,,0,,0,"",0,T,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-12,1950,1,12,,-13.3,,-20.6,,-17,,35,,0,,0,"",0,"",0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-13,1950,1,13,,0.6,,-17.8,,-8.6,,26.6,,0,,2,"",5.1,"",7.1,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-14,1950,1,14,,3.3,,-4.4,,-0.6,,18.6,,0,,0,"",0,T,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-15,1950,1,15,,-2.2,,-13.3,,-7.8,,25.8,,0,,0,T,3.8,"",3.8,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-16,1950,1,16,,5.6,,-8.9,,-1.7,,19.7,,0,,0,T,0,"",0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-17,1950,1,17,,-8.3,,-15.6,,-12,,30,,0,,0,"",0.8,"",0.8,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-18,1950,1,18,,-0.6,,-15.6,,-8.1,,26.1,,0,,0,"",7.6,"",7.6,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-19,1950,1,19,,-18.9,,-26.1,,-22.5,,40.5,,0,,0,"",0,"",0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-20,1950,1,20,,-20.6,,-25,,-22.8,,40.8,,0,,0,"",0,T,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-21,1950,1,21,,-10.6,,-29.4,,-20,,38,,0,,0,"",4.6,"",4.6,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-22,1950,1,22,,-5.6,,-17.8,,-11.7,,29.7,,0,,0,"",3,"",3,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-23,1950,1,23,,-5,,-10.6,,-7.8,,25.8,,0,,0,"",2,"",2,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-24,1950,1,24,,-3.3,,-18.3,,-10.8,,28.8,,0,,0,"",6.4,"",6.4,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-25,1950,1,25,,7.8,,-17.8,,-5,,23,,0,,4.1,"",0,"",4.1,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1950-01-26,1950,1,26,,10,,-4.4,,2.8,,15.2,,0,,1,"",0,"",1,"",,,,,,
