Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-01,2004,1,1,,-2.7,"",-15.2,"",-9,"",27,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-02,2004,1,2,,-8.1,"",-14.8,"",-11.5,"",29.5,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-03,2004,1,3,,-0.5,"",-8.2,"",-4.4,"",22.4,"",0,"",,,,,3.6,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-04,2004,1,4,,-0.5,"",-12.4,"",-6.5,"",24.5,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-05,2004,1,5,,-8.5,"",-12.1,"",-10.3,"",28.3,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-06,2004,1,6,,-9.3,"",-18.9,"",-14.1,"",32.1,"",0,"",,,,,0.6,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-07,2004,1,7,,-13.2,"",-25.2,"",-19.2,"",37.2,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-08,2004,1,8,,-22.8,"",-27.7,"",-25.3,"",43.3,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-09,2004,1,9,,-20.4,"",-28.8,"",-24.6,"",42.6,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-10,2004,1,10,,-20.8,"",-28.4,"",-24.6,"",42.6,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-11,2004,1,11,,-18.5,"",-26.6,"",-22.6,"",40.6,"",0,"",,,,,2.7,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-12,2004,1,12,,-11.4,"",-24.4,"",-17.9,"",35.9,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-13,2004,1,13,,-11.6,"",-28.2,"",-19.9,"",37.9,"",0,"",,,,,1.6,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-14,2004,1,14,,-25.3,"",-31,"",-28.2,"",46.2,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-15,2004,1,15,,-25,"",-32.6,"",-28.8,"",46.8,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-16,2004,1,16,,-5.8,"",-25,"",-15.4,"",33.4,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-17,2004,1,17,,-5.5,"",-16.7,"",-11.1,"",29.1,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-18,2004,1,18,,-7.1,"",-16.1,"",-11.6,"",29.6,"",0,"",,,,,1.6,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-19,2004,1,19,,-6.9,"",-11.1,"",-9,"",27,"",0,"",,,,,,M,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-20,2004,1,20,,-6.4,"",-12,"",-9.2,"",27.2,"",0,"",,,,,0.4,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-21,2004,1,21,,-9.4,"",-19.3,"",-14.4,"",32.4,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-22,2004,1,22,,-9.3,"",-18.4,"",-13.9,"",31.9,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-23,2004,1,23,,-14.4,"",-21.5,"",-18,"",36,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-24,2004,1,24,,-20.8,"",-27,"",-23.9,"",41.9,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-25,2004,1,25,,-22.4,"",-29,"",-25.7,"",43.7,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-26,2004,1,26,,-19.5,"",-29.5,"",-24.5,"",42.5,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-27,2004,1,27,,-16,"",-30.9,"",-23.5,"",41.5,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-28,2004,1,28,,-11.2,"",-25,"",-18.1,"",36.1,"",0,"",,,,,0.2,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-29,2004,1,29,,-11.9,"",-16.1,"",-14,"",32,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-30,2004,1,30,,-14.3,E,-16.5,E,-15.4,E,33.4,E,0,E,,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-01-31,2004,1,31,,-10.9,"",-15.6,"",-13.3,"",31.3,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-01,2004,2,1,,-3.4,"",-13.4,"",-8.4,"",26.4,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-02,2004,2,2,,-5,"",-15.1,"",-10.1,"",28.1,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-03,2004,2,3,,-3.1,"",-14.5,"",-8.8,"",26.8,"",0,"",,,,,3.2,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-04,2004,2,4,,-0.3,"",-14.3,"",-7.3,"",25.3,"",0,"",,,,,2.7,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-05,2004,2,5,,-8.7,"",-16.8,"",-12.8,"",30.8,"",0,"",,,,,0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-06,2004,2,6,,-7.5,"",-17.6,"",-12.6,"",30.6,"",0,"",,,,,2,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-07,2004,2,7,,-5.3,"",-11.9,"",-8.6,"",26.6,"",0,"",,,,,1,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-08,2004,2,8,,-11.8,"",-20,"",-15.9,"",33.9,"",0,"",,,,,0.4,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-09,2004,2,9,,-0.2,"",-17.3,"",-8.8,"",26.8,"",0,"",,,,,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL,701S001,2004-02-10,2004,2,10,,0.8,"",-6.7,"",-3,"",21,"",0,"",,,,,0,T,,,,,,
