Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-01,1990,1,1,,1.9,,-14.2,,-6.2,,24.2,,0,,8,"",0.6,"",8.4,"",51,"",24,"",59,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-02,1990,1,2,,-1.6,,-15.7,,-8.7,,26.7,,0,,0,"",1.2,"",1.2,"",50,"",25,"",52,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-03,1990,1,3,,-0.3,,-2.8,,-1.6,,19.6,,0,,0,"",0,T,0,T,50,"",25,"",44,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-04,1990,1,4,,3,,-2.7,,0.2,,17.8,,0,,17.4,"",0,T,17.4,"",49,"",25,"",57,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-05,1990,1,5,,-0.8,,-13.5,,-7.2,,25.2,,0,,0,"",0,T,0,T,45,"",28,"",39,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-06,1990,1,6,,-5.1,,-18.1,,-11.6,,29.6,,0,,0,"",6.2,"",5.4,"",46,"",,"",<31,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-07,1990,1,7,,-5.3,,-21.9,,-13.6,,31.6,,0,,0,"",9.4,"",4.6,"",48,"",,"",<31,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-08,1990,1,8,,-1.4,,-10.6,,-6,,24,,0,,0,"",0.8,"",0.4,"",54,"",29,"",35,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-09,1990,1,9,,-3.1,,-7.2,,-5.2,,23.2,,0,,0,"",1.4,"",0.8,"",54,"",,"",<31,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-10,1990,1,10,,-2.1,,-5.7,,-3.9,,21.9,,0,,0,"",5.4,"",4.4,"",57,"",7,"",37,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-11,1990,1,11,,-5.7,,-8.2,,-7,,25,,0,,0,"",7.2,"",5.4,"",59,"",6,"",59,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-12,1990,1,12,,-4.5,,-7.3,,-5.9,,23.9,,0,,0,"",7.6,"",6.4,"",70,"",7,"",43,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-13,1990,1,13,,-5.8,,-19.1,,-12.5,,30.5,,0,,0,"",0,T,0,T,71,"",27,"",43,""
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1990-01-14,1990,1,14,,-16.8,,-22.1,,-19.5,,37.5,,0,,0,"",0,"",0,"",70,"",24,"",37,""
