Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-01,1967,1,1,,-3.3,,-12.2,,-7.8,,25.8,,0,,0,"",7.6,"",5.3,"",53,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-02,1967,1,2,,-2.2,,-11.1,,-6.7,,24.7,,0,,0,"",2,"",1.3,"",58,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-03,1967,1,3,,-2.8,,-7.2,,-5,,23,,0,,0,"",2.5,"",2,"",51,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-04,1967,1,4,,-1.7,,-3.9,,-2.8,,20.8,,0,,0,T,4.1,"",3.3,"",46,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-05,1967,1,5,,-1.7,,-7.2,,-4.5,,22.5,,0,,0,"",3,"",1.3,"",48,"",25,,37,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-06,1967,1,6,,-7.2,,-22.8,,-15,,33,,0,,0,"",0,"",0,"",48,"",23,,43,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-07,1967,1,7,,-8.3,,-23.9,,-16.1,,34.1,,0,,0,"",3,"",3.8,"",48,"",7,,55,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-08,1967,1,8,,-1.7,,-8.9,,-5.3,,23.3,,0,,0,T,1.5,"",1.8,"",51,"",7,,31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-09,1967,1,9,,-2.8,,-10,,-6.4,,24.4,,0,,0,"",1.3,"",1,"",43,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-10,1967,1,10,,-5,,-13.3,,-9.2,,27.2,,0,,0,"",0,T,0,T,41,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-11,1967,1,11,,-6.7,,-13.3,,-10,,28,,0,,0,"",0.8,"",0.5,"",38,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-12,1967,1,12,,-6.7,,-17.8,,-12.3,,30.3,,0,,0,"",5.6,"",4.8,"",38,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-13,1967,1,13,,0,,-7.2,,-3.6,,21.6,,0,,0,"",0.8,"",0.5,"",43,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-14,1967,1,14,,0.6,,-7.2,,-3.3,,21.3,,0,,0,"",0,T,0,T,41,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-15,1967,1,15,,0.6,,-13.3,,-6.4,,24.4,,0,,0,"",4.8,"",4.6,"",41,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-16,1967,1,16,,-12.8,,-21.7,,-17.3,,35.3,,0,,0,"",0,"",0,"",43,"",25,,31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-17,1967,1,17,,-0.6,,-17.8,,-9.2,,27.2,,0,,0,"",6.4,"",3.6,"",36,"",25,,71,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-18,1967,1,18,,-11.1,,-27.2,,-19.2,,37.2,,0,,0,"",0,"",0,"",41,"",25,,58,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-19,1967,1,19,,-16.1,,-32.2,,-24.2,,42.2,,0,,0,"",0.8,"",0.5,"",41,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-20,1967,1,20,,-11.1,,-18.9,,-15,,33,,0,,0,"",2.5,"",1.8,"",43,"",25,,32,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-21,1967,1,21,,-10,,-17.2,,-13.6,,31.6,,0,,0,"",4.1,"",2.5,"",43,"",7,,48,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-22,1967,1,22,,-7.2,,-12.2,,-9.7,,27.7,,0,,0,"",0,T,0,T,41,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-23,1967,1,23,,-7.8,,-10,,-8.9,,26.9,,0,,0,T,20.3,"",19.3,"",43,"",7,,63,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-24,1967,1,24,,0,,-12.8,,-6.4,,24.4,,0,,0.3,"",0,T,0.3,"",58,"",32,,34,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1967-01-25,1967,1,25,,-1.1,,-13.9,,-7.5,,25.5,,0,,0.8,"",5.6,"",8.9,"",56,"",7,,50,
