Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-01,2012,1,1,"",,,,,,M,,M,,M,2.8,,5.4,"",8.2,"",29,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-02,2012,1,2,"",,,,,,M,,M,,M,0,,3,"",3,"",32,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-03,2012,1,3,"",,,,,,M,,M,,M,0,,0,"",0,"",35,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-04,2012,1,4,"",,,,,,M,,M,,M,0,,4,"",2,"",35,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-05,2012,1,5,"",,,,,,M,,M,,M,0,,0,"",0,"",36,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-06,2012,1,6,"",,,,,,M,,M,,M,0,,6.4,"",3.8,"",36,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-07,2012,1,7,"",,,,,,M,,M,,M,0,,4.9,"",4,"",40,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-08,2012,1,8,"",,,,,,M,,M,,M,0,,0,"",0,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-09,2012,1,9,"",,,,,,M,,M,,M,0,,1.6,"",1,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-10,2012,1,10,"",,,,,,M,,M,,M,0,,2.6,"",2.6,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-11,2012,1,11,"",,,,,,M,,M,,M,0,,0,"",0,"",44,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-12,2012,1,12,"",,,,,,M,,M,,M,0,,7.8,"",7,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-13,2012,1,13,"",,,,,,M,,M,,M,0.4,,5.8,"",13.4,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-14,2012,1,14,"",,,,,,M,,M,,M,0,,0,"",0,"",55,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-15,2012,1,15,"",,,,,,M,,M,,M,0,,0,"",0,"",55,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-16,2012,1,16,"",,,,,,M,,M,,M,0,,0,"",0,"",55,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-17,2012,1,17,"",,,,,,M,,M,,M,0,,16,"",12.2,"",55,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-18,2012,1,18,"",,,,,,M,,M,,M,0,,0,"",0,"",50,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-19,2012,1,19,"",,,,,,M,,M,,M,0,,6.8,"",6.6,"",50,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-20,2012,1,20,"",,,,,,M,,M,,M,0,,0.2,"",0.2,"",53,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-21,2012,1,21,"",,,,,,M,,M,,M,0,,0,"",0,"",48,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-22,2012,1,22,"",,,,,,M,,M,,M,0,,0,"",0,"",48,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-23,2012,1,23,"",,,,,,M,,M,,M,21.8,,0,"",21.8,"",48,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-24,2012,1,24,"",,,,,,M,,M,,M,0,,0,"",0,"",45,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-25,2012,1,25,"",,,,,,M,,M,,M,0,,0,"",0,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-26,2012,1,26,"",,,,,,M,,M,,M,0,,1.8,"",1.4,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-27,2012,1,27,"",,,,,,M,,M,,M,0,,15.4,"",15.4,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-28,2012,1,28,"",,,,,,M,,M,,M,0,,2,"",2,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-29,2012,1,29,"",,,,,,M,,M,,M,0,,0,"",0,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-30,2012,1,30,"",,,,,,M,,M,,M,0,,0,"",0,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-01-31,2012,1,31,"",,,,,,M,,M,,M,0,,10.4,"",8.4,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-01,2012,2,1,"",,,,,,M,,M,,M,0,,5.4,"",5.2,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-02,2012,2,2,"",,,,,,M,,M,,M,0,,0.2,"",0.2,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-03,2012,2,3,"",,,,,,M,,M,,M,0,,0.2,"",0.2,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-04,2012,2,4,"",,,,,,M,,M,,M,0,,0,"",0,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-05,2012,2,5,"",,,,,,M,,M,,M,0,,1.2,"",1.2,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-06,2012,2,6,"",,,,,,M,,M,,M,0,,0,"",0,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-07,2012,2,7,"",,,,,,M,,M,,M,0,,0,"",0,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-08,2012,2,8,"",,,,,,M,,M,,M,0,,0,"",0,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-09,2012,2,9,"",,,,,,M,,M,,M,0,,0,"",0,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-10,2012,2,10,"",,,,,,M,,M,,M,0,,1.6,"",1.6,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-11,2012,2,11,"",,,,,,M,,M,,M,0,,0.2,"",0.2,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-12,2012,2,12,"",,,,,,M,,M,,M,0,,0,"",0,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-13,2012,2,13,"",,,,,,M,,M,,M,0,,0,"",0,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-14,2012,2,14,"",,,,,,M,,M,,M,0,,0.2,"",0.2,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-15,2012,2,15,"",,,,,,M,,M,,M,0,,0.6,"",0.6,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-16,2012,2,16,"",,,,,,M,,M,,M,0,,7.2,"",10,"",43,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-17,2012,2,17,"",,,,,,M,,M,,M,0,,2.6,"",2.6,"",48,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-18,2012,2,18,"",,,,,,M,,M,,M,0,,0,"",0,"",48,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-19,2012,2,19,"",,,,,,M,,M,,M,0,,0,"",0,"",47,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-20,2012,2,20,"",,,,,,M,,M,,M,0,,0,"",0,"",47,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-21,2012,2,21,"",,,,,,M,,M,,M,0,,1.2,"",1.2,"",47,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-22,2012,2,22,"",,,,,,M,,M,,M,0,,7.4,"",7.4,"",47,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-23,2012,2,23,"",,,,,,M,,M,,M,0,,0.4,"",0.4,"",49,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-24,2012,2,24,"",,,,,,M,,M,,M,0,,14.2,"",16.4,"",47,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-25,2012,2,25,"",,,,,,M,,M,,M,0,,0,"",0,"",58,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-26,2012,2,26,"",,,,,,M,,M,,M,0,,0,"",0,"",58,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-27,2012,2,27,"",,,,,,M,,M,,M,0,,11.4,"",11,"",58,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-28,2012,2,28,"",,,,,,M,,M,,M,0,,1,"",1,"",62,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-02-29,2012,2,29,"",,,,,,M,,M,,M,0,,0,"",0,"",62,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-01,2012,3,1,"",,,,,,M,,M,,M,0,,0,"",0,"",60,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-02,2012,3,2,"",,,,,,M,,M,,M,0,,6,"",6,"",60,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-03,2012,3,3,"",,,,,,M,,M,,M,0,,5.4,"",6.8,"",61,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-04,2012,3,4,"",,,,,,M,,M,,M,0,,0.4,"",0.4,"",61,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-05,2012,3,5,"",,,,,,M,,M,,M,0,,0,"",0,"",61,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-06,2012,3,6,"",,,,,,M,,M,,M,0,,0.6,"",0.6,"",61,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-07,2012,3,7,"",,,,,,M,,M,,M,0,,0,"",0,"",61,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-08,2012,3,8,"",,,,,,M,,M,,M,16,,0,"",16,"",59,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-09,2012,3,9,"",,,,,,M,,M,,M,0,,0,"",0,"",47,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-10,2012,3,10,"",,,,,,M,,M,,M,0,,0,"",0,"",47,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-11,2012,3,11,"",,,,,,M,,M,,M,0,,0,"",0,"",47,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-12,2012,3,12,"",,,,,,M,,M,,M,0,,0,"",0,"",46,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-13,2012,3,13,"",,,,,,M,,M,,M,6.2,,0.6,"",6.6,"",42,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-14,2012,3,14,"",,,,,,M,,M,,M,0,,2.2,"",2.2,"",39,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-15,2012,3,15,"",,,,,,M,,M,,M,0.2,,0,"",0.2,"",39,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-16,2012,3,16,"",,,,,,M,,M,,M,7,,0,"",7,"",39,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-17,2012,3,17,"",,,,,,M,,M,,M,7.4,,0,"",7.4,"",39,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-18,2012,3,18,"",,,,,,M,,M,,M,0,,0,"",0,"",38,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-19,2012,3,19,"",,,,,,M,,M,,M,0,,0,"",0,"",35,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2012-03-20,2012,3,20,"",,,,,,M,,M,,M,0,,0,"",0,"",30,,,,,
