Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-01,2001,1,1,,,,,,,M,,M,,M,0,"",0,T,0,T,36,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-02,2001,1,2,,,,,,,M,,M,,M,0,"",0.2,"",0.2,"",36,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-03,2001,1,3,,,,,,,M,,M,,M,0,"",0.3,"",0.3,"",36,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-04,2001,1,4,,,,,,,M,,M,,M,0,"",2.4,"",2.2,"",38,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-05,2001,1,5,,,,,,,M,,M,,M,0,"",0,T,0,T,38,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-06,2001,1,6,,,,,,,M,,M,,M,0,"",3.5,"",1.8,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-07,2001,1,7,,,,,,,M,,M,,M,0,"",0,T,0,T,41,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-08,2001,1,8,,,,,,,M,,M,,M,0,"",0.4,"",0.2,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-09,2001,1,9,,,,,,,M,,M,,M,0,"",0,"",0,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2001-01-10,2001,1,10,,,,,,,M,,M,,M,0,"",0,"",0,"",40,"",,,,
