Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-01,1952,1,1,,5,,-6.7,,-0.9,,18.9,,0,,5.1,"",0,T,5.1,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-02,1952,1,2,,-6.1,,-13.3,,-9.7,,27.7,,0,,0,"",2,"",2,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-03,1952,1,3,,-9.4,,-16.7,,-13.1,,31.1,,0,,0,"",0,T,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-04,1952,1,4,,-10.6,,-16.1,,-13.4,,31.4,,0,,0,"",0,"",0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-05,1952,1,5,,-7.2,,-22.2,,-14.7,,32.7,,0,,0,"",4.3,"",4.3,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-06,1952,1,6,,-6.7,,-15.6,,-11.2,,29.2,,0,,0,"",0,T,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-07,1952,1,7,,-10,,-18.9,,-14.5,,32.5,,0,,0,"",0,"",0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-08,1952,1,8,,-10.6,,-20,,-15.3,,33.3,,0,,0,"",0,"",0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-09,1952,1,9,,-12.2,,-22.8,,-17.5,,35.5,,0,,0,"",0,"",0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-10,1952,1,10,,-7.2,,-22.2,,-14.7,,32.7,,0,,0,"",0,"",0,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-11,1952,1,11,,-7.8,,-13.3,,-10.6,,28.6,,0,,0,"",0,T,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-12,1952,1,12,,-1.1,,-15,,-8.1,,26.1,,0,,0,"",0.8,"",0.8,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-13,1952,1,13,,-5.6,,-10,,-7.8,,25.8,,0,,0,"",2.5,"",2.5,"",,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-14,1952,1,14,,-3.9,,-12.2,,-8.1,,26.1,,0,,0,T,0,T,0,T,,,,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1952-01-15,1952,1,15,,2.8,,-10,,-3.6,,21.6,,0,,8.9,"",0,T,8.9,"",,,,,,
