Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-01,2002,1,1,,,,,,,M,,M,,M,0,"",0.2,E,0,T,16,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-02,2002,1,2,,,,,,,M,,M,,M,0,"",0.2,E,0.2,E,12,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-03,2002,1,3,,,,,,,M,,M,,M,0,"",0,T,0,T,11,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-04,2002,1,4,,,,,,,M,,M,,M,0,"",1,"",0.2,"",11,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-05,2002,1,5,,,,,,,M,,M,,M,0,"",0,T,0,T,11,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-06,2002,1,6,,,,,,,M,,M,,M,0.8,"",3.4,"",4.6,"",12,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-07,2002,1,7,,,,,,,M,,M,,M,0,"",0,T,0,T,13,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-08,2002,1,8,,,,,,,M,,M,,M,0,"",0,T,0,T,13,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-09,2002,1,9,,,,,,,M,,M,,M,0.4,"",0.6,"",0.8,"",13,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-10,2002,1,10,,,,,,,M,,M,,M,0,"",4.6,"",4.2,"",17,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-11,2002,1,11,,,,,,,M,,M,,M,0,"",2.8,"",2,"",16,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-12,2002,1,12,,,,,,,M,,M,,M,0,"",0,T,0,T,18,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-13,2002,1,13,,,,,,,M,,M,,M,0,"",4.3,"",4.2,"",18,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-14,2002,1,14,,,,,,,M,,M,,M,0,"",0,"",0,"",17,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-15,2002,1,15,,,,,,,M,,M,,M,0,"",7.2,"",6.8,"",16,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-16,2002,1,16,,,,,,,M,,M,,M,0,"",1,"",1,"",19,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-17,2002,1,17,,,,,,,M,,M,,M,0,"",4,"",3,"",19,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-18,2002,1,18,,,,,,,M,,M,,M,0,"",1.2,"",0.6,"",23,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-19,2002,1,19,,,,,,,M,,M,,M,0,"",0,T,0,T,23,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-20,2002,1,20,,,,,,,M,,M,,M,0,"",1.8,"",1.6,"",22,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-21,2002,1,21,,,,,,,M,,M,,M,0,"",6,"",5,"",23,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-22,2002,1,22,,,,,,,M,,M,,M,0,"",0.2,"",0.2,"",24,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-23,2002,1,23,,,,,,,M,,M,,M,0,"",0,T,0,T,24,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-24,2002,1,24,,,,,,,M,,M,,M,2,"",0,T,2,"",21,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-25,2002,1,25,,,,,,,M,,M,,M,0,"",3.4,"",1.8,"",20,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-26,2002,1,26,,,,,,,M,,M,,M,0,"",4.2,"",2.6,"",27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-27,2002,1,27,,,,,,,M,,M,,M,0,"",7.6,"",4.4,"",27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-28,2002,1,28,,,,,,,M,,M,,M,0,"",0,"",0,"",28,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2002-01-29,2002,1,29,,,,,,,M,,M,,M,0.2,"",1.5,"",1.4,"",28,"",,,,
