Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-01,2003,1,1,,,,,,,M,,M,,M,0,"",3,"",2.8,"",26,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-02,2003,1,2,,,,,,,M,,M,,M,0,"",0,"",0,"",26,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-03,2003,1,3,,,,,,,M,,M,,M,0,"",0,"",0,"",26,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-04,2003,1,4,,,,,,,M,,M,,M,0,"",0,T,0,T,26,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-05,2003,1,5,,,,,,,M,,M,,M,0,"",0.2,"",0.2,"",26,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-06,2003,1,6,,,,,,,M,,M,,M,0,"",5.6,"",2,"",30,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-07,2003,1,7,,,,,,,M,,M,,M,0,"",0.2,"",0,T,27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-08,2003,1,8,,,,,,,M,,M,,M,0,"",3.6,"",3.4,"",30,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-09,2003,1,9,,,,,,,M,,M,,M,0,"",0,"",0,"",29,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-10,2003,1,10,,,,,,,M,,M,,M,0,"",0,T,0,T,28,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-11,2003,1,11,,,,,,,M,,M,,M,0,"",0,T,0,T,28,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-12,2003,1,12,,,,,,,M,,M,,M,0,"",0.2,"",0.2,"",27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-13,2003,1,13,,,,,,,M,,M,,M,0,"",9.6,"",7.2,"",27,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-14,2003,1,14,,,,,,,M,,M,,M,0,"",1,"",0.8,"",34,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-15,2003,1,15,,,,,,,M,,M,,M,0,"",0,T,0,T,33,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-16,2003,1,16,,,,,,,M,,M,,M,0,"",1.4,"",1.2,"",33,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-17,2003,1,17,,,,,,,M,,M,,M,0,"",0.2,"",0.2,"",34,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-18,2003,1,18,,,,,,,M,,M,,M,0,"",0,T,0,T,34,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-19,2003,1,19,,,,,,,M,,M,,M,0,"",1,"",0.8,"",34,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-20,2003,1,20,,,,,,,M,,M,,M,0,"",8.6,"",7.4,"",36,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-21,2003,1,21,,,,,,,M,,M,,M,0,"",0,"",0,"",37,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-22,2003,1,22,,,,,,,M,,M,,M,0,"",0,"",0,"",36,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-23,2003,1,23,,,,,,,M,,M,,M,0,"",0,T,0,T,36,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-24,2003,1,24,,,,,,,M,,M,,M,0,"",0,"",0,"",36,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-25,2003,1,25,,,,,,,M,,M,,M,0,"",4,"",1.6,"",36,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-26,2003,1,26,,,,,,,M,,M,,M,0,"",8.4,"",4.2,"",42,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-27,2003,1,27,,,,,,,M,,M,,M,0,"",0,T,0,T,44,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-28,2003,1,28,,,,,,,M,,M,,M,0,"",0,"",0,"",44,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-29,2003,1,29,,,,,,,M,,M,,M,0,"",0.4,"",0.4,"",44,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-30,2003,1,30,,,,,,,M,,M,,M,0,"",0,"",0,"",44,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-01-31,2003,1,31,,,,,,,M,,M,,M,0,"",0,"",0,"",44,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-02-01,2003,2,1,,,,,,,M,,M,,M,0,"",0,"",0,"",44,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-02-02,2003,2,2,,,,,,,M,,M,,M,0,"",4.4,"",4.4,"",41,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2003-02-03,2003,2,3,,,,,,,M,,M,,M,0,"",0,"",0,"",42,"",,,,
