Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-01,1996,1,1,,,,,,,M,,M,,M,0,"",0,"",0,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-02,1996,1,2,,,,,,,M,,M,,M,0,"",0,"",0,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-03,1996,1,3,,,,,,,M,,M,,M,0,"",0,"",0,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-04,1996,1,4,,,,,,,M,,M,,M,0,"",0,"",0,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-05,1996,1,5,,,,,,,M,,M,,M,0,"",0.2,"",0.2,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-06,1996,1,6,,,,,,,M,,M,,M,0,"",0,"",0,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-07,1996,1,7,,,,,,,M,,M,,M,0,"",0,"",0,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-08,1996,1,8,,,,,,,M,,M,,M,0,"",0,"",0,"",40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-09,1996,1,9,,,,,,,M,,M,,M,0,"",2,"",2.2,"",43,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-10,1996,1,10,,,,,,,M,,M,,M,0,"",3.3,"",2.1,"",46,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-11,1996,1,11,,,,,,,M,,M,,M,0,"",0,"",0,"",47,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-12,1996,1,12,,,,,,,M,,M,,M,0,"",1.6,"",1,"",47,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-13,1996,1,13,,,,,,,M,,M,,M,0,"",0,"",0,"",47,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-14,1996,1,14,,,,,,,M,,M,,M,0,"",6,"",7,"",45,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-15,1996,1,15,,,,,,,M,,M,,M,0,"",0,"",0,"",45,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-16,1996,1,16,,,,,,,M,,M,,M,9,"",4.5,"",13.4,"",45,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-17,1996,1,17,,,,,,,M,,M,,M,4,"",0,T,4,"",44,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-18,1996,1,18,,,,,,,M,,M,,M,0,T,0,"",0,T,40,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-19,1996,1,19,,,,,,,M,,M,,M,13,"",5,"",18,"",30,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1996-01-20,1996,1,20,,,,,,,M,,M,,M,0,"",0,"",0,"",30,"",,,,
