Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-01,2011,1,1,,,,,,,M,,M,,M,7.6,"",0,"",7.6,"",18,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-02,2011,1,2,,,,,,,M,,M,,M,1,"",0,"",1,"",14,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-03,2011,1,3,,,,,,,M,,M,,M,0,"",0,"",0,"",14,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-04,2011,1,4,,,,,,,M,,M,,M,0,"",0,"",0,"",14,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-05,2011,1,5,,,,,,,M,,M,,M,0,"",0,"",0,"",14,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-06,2011,1,6,,,,,,,M,,M,,M,0,"",0,"",0,"",14,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-07,2011,1,7,,,,,,,M,,M,,M,0,"",0.5,"",0.5,"",14,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-08,2011,1,8,,,,,,,M,,M,,M,0,"",1.8,"",1.6,"",14,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-09,2011,1,9,,,,,,,M,,M,,M,0,"",2.2,"",2,"",15,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-10,2011,1,10,,,,,,,M,,M,,M,0,"",0,"",0,"",15,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-11,2011,1,11,,,,,,,M,,M,,M,0,"",0,"",0,"",15,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-12,2011,1,12,,,,,,,M,,M,,M,0,"",0,"",0,"",15,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-13,2011,1,13,,,,,,,M,,M,,M,0,"",0,"",0,"",15,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-14,2011,1,14,,,,,,,M,,M,,M,0,"",0,"",0,"",15,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-15,2011,1,15,,,,,,,M,,M,,M,0,"",1.1,"",1.1,"",15,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-16,2011,1,16,,,,,,,M,,M,,M,0,"",0,"",0,"",16,"",,,,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,2011-01-17,2011,1,17,,,,,,,M,,M,,M,0,"",0,"",0,"",16,"",,,,
