Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-01,1980,1,1,,-6.7,,-16,,-11.4,,29.4,,0,,0,"",0,"",0,"",23,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-02,1980,1,2,,-6.2,,-15.3,,-10.8,,28.8,,0,,0,"",0,"",0,"",23,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-03,1980,1,3,,-11.5,,-20.4,,-16,,34,,0,,0,"",0,"",0,"",23,"",25,,31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-04,1980,1,4,,-12.6,,-19.7,,-16.2,,34.2,,0,,0,"",0,"",0,"",22,"",24,,37,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-05,1980,1,5,,-10.1,,-20.6,,-15.4,,33.4,,0,,0,"",0,T,0,T,22,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-06,1980,1,6,,-14.5,,-23.5,,-19,,37,,0,,0,"",0,"",0,"",22,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-07,1980,1,7,,0.1,,-18.2,,-9.1,,27.1,,0,,0,"",6.2,"",6.4,"",22,"",24,,69,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-08,1980,1,8,,-5.2,,-13.6,,-9.4,,27.4,,0,,0,"",1.2,"",1.4,"",28,"",24,,67,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-09,1980,1,9,,-8.2,,-20.4,,-14.3,,32.3,,0,,0,"",0,T,0,T,29,"",25,,43,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-10,1980,1,10,,-11.8,,-21.9,,-16.9,,34.9,,0,,0,"",0,T,0,T,30,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-11,1980,1,11,,5.9,,-14.4,,-4.3,,22.3,,0,,18.2,"",3.2,"",21.4,"",32,"",6,,35,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-12,1980,1,12,,7,,-15.7,,-4.4,,22.4,,0,,1.8,"",0.2,"",2,"",34,"",24,,85,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-13,1980,1,13,,-8.2,,-17.9,,-13.1,,31.1,,0,,0,"",0,"",0,"",34,"",,,<31,
-71.38,46.8,QUEBEC/JEAN LESAGE INTL A,7016294,1980-01-14,1980,1,14,,1.5,,-10.3,,-4.4,,22.4,,0,,1.6,"",2.6,"",4,"",34,"",,,<31,
